channel_id,dow,n,median_views,median_vpd,channel_median,index_vs_channel
UCLe_q9axMaeTbjN0hy1Z9xA,Monday,20,1528123.0,18285.400263657626,1427716.0,1.07
UCLe_q9axMaeTbjN0hy1Z9xA,Friday,17,1432866.0,13870.513219059607,1427716.0,1.0
UCLe_q9axMaeTbjN0hy1Z9xA,Wednesday,19,1330354.0,12405.28625013541,1427716.0,0.93
UCNj1mz_ZzBs-8x28Jd_bCEA,Wednesday,29,4714.0,40.86783021700583,3678.0,1.28
UCNj1mz_ZzBs-8x28Jd_bCEA,Sunday,35,3955.0,16.81701001007093,3678.0,1.08
UCNj1mz_ZzBs-8x28Jd_bCEA,Saturday,4,1932.5,5.762676375264527,3678.0,0.53
UCO3qWot3L3egKYit9x9uWGw,Friday,102,3003.5,8.616479032036606,2855.0,1.05
UCO3qWot3L3egKYit9x9uWGw,Wednesday,84,2917.5,7.57978783795839,2855.0,1.02
UCO3qWot3L3egKYit9x9uWGw,Saturday,99,2763.0,8.976614106627622,2855.0,0.97
UCO3qWot3L3egKYit9x9uWGw,Monday,85,2651.0,6.384549612801111,2855.0,0.93
UCO3qWot3L3egKYit9x9uWGw,Sunday,12,2571.5,7.718191367896303,2855.0,0.9
UCO3qWot3L3egKYit9x9uWGw,Tuesday,28,2178.5,7.749466823003068,2855.0,0.76
UCO3qWot3L3egKYit9x9uWGw,Thursday,10,1862.5,5.714235540951522,2855.0,0.65
UCOHxDwCcOzBaLkeTazanwcw,Friday,36,173480.5,396.1920841838023,150511.0,1.15
UCOHxDwCcOzBaLkeTazanwcw,Tuesday,37,151730.0,400.4035482353111,150511.0,1.01
UCOHxDwCcOzBaLkeTazanwcw,Wednesday,20,148924.0,466.19722852808115,150511.0,0.99
UCOHxDwCcOzBaLkeTazanwcw,Monday,29,146009.0,381.84574535557886,150511.0,0.97
UCOHxDwCcOzBaLkeTazanwcw,Thursday,36,142270.5,472.6806300211698,150511.0,0.95
UCOHxDwCcOzBaLkeTazanwcw,Saturday,4,125673.0,231.80989000923435,150511.0,0.83
