channel_id,duration_bucket,n,median_views,median_vpd,channel_median,index_vs_channel
UCvWpf6aN45jIFIifAvBF_aA,20-30m,7,11103.0,67.57146170089833,9777.0,1.14
UCvWpf6aN45jIFIifAvBF_aA,12-20m,508,9895.5,61.15197592978668,9777.0,1.01
UCvWpf6aN45jIFIifAvBF_aA,8-12m,8,9316.5,47.52590824988734,9777.0,0.95
UCvWpf6aN45jIFIifAvBF_aA,30m+,12,5680.5,70.43740634503737,9777.0,0.58
UCw5TLrz3qADabwezTEcOmgQ,12-20m,94,27238.5,115.00187547713396,22542.0,1.21
UCw5TLrz3qADabwezTEcOmgQ,8-12m,25,20280.0,74.008626401647,22542.0,0.9
UCw5TLrz3qADabwezTEcOmgQ,30m+,7,17282.0,143.4522176979202,22542.0,0.77
UCw5TLrz3qADabwezTEcOmgQ,20-30m,7,14652.0,128.50464048689742,22542.0,0.65
UCw5TLrz3qADabwezTEcOmgQ,3-8m,18,8317.0,34.95767623134887,22542.0,0.37
UCwTu6kD2igaLMpxswtcdxlg,8-12m,199,49467.0,225.504252775763,28107.0,1.76
UCwTu6kD2igaLMpxswtcdxlg,12-20m,233,32275.0,84.24336912924045,28107.0,1.15
UCwTu6kD2igaLMpxswtcdxlg,20-30m,77,23507.0,54.125391356264075,28107.0,0.84
UCwTu6kD2igaLMpxswtcdxlg,3-8m,45,14345.0,39.31683850048112,28107.0,0.51
UCwTu6kD2igaLMpxswtcdxlg,30m+,23,3475.0,8.419109610460207,28107.0,0.12
UCxH2HgyINJnROn6TgrTzJkw,30m+,49,163494.0,555.8943922992955,163494.0,1.0
