channel_id,title,handle,url,bucket,country,subscriber_count,total_views,public_video_count,videos_collected,videos_mature,first_seen,last_upload,days_since_last_upload,uploads_per_week,uploads_per_month,median_views_all_mature,mean_views_all_mature,median_views_last10,median_views_last30,median_vpd,views_per_sub,n_longform,n_shorts,median_views_longform,median_views_shorts,median_duration_sec_longform,pct_outperform_2x,top10pct_view_share,gini_views,median_engagement_rate,likes_hidden_pct
UCurYxozQbvKn-oNUxNJh45Q,GREAT IDEAS GREAT LIFE,@greatideasgreatlifeindia,https://www.youtube.com/@greatideasgreatlifeindia,W,IN,7160000,701449255,726,161,160,2024-09-08,2026-09-06,2,1.55,6.74,188685.0,278981.5164835165,143227.5,133400.0,518.7559211086807,0.0264,91,69,188685.0,139677.0,737.0,0.253,0.316,0.439,0.0386,0.0
UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,@asapscience,https://www.youtube.com/@asapscience,W,,10800000,2074038244,559,74,74,2024-10-03,2026-07-29,40,0.78,3.4,421010.0,760715.16,124081.0,103734.5,1517.48193929583,0.039,25,49,421010.0,71801.0,445.0,0.2,0.389,0.522,0.0388,0.0
UCybBViio_TH_uiFFDJuz5tg,Einzelgänger,@einzelganger,https://www.youtube.com/@einzelganger,W,NL,2390000,252616969,349,60,55,2024-09-05,2026-09-04,3,0.58,2.51,139176.0,155529.23255813954,73022.0,95994.5,477.7528860822912,0.0582,43,12,139176.0,17355.5,1067.0,0.093,0.242,0.325,0.0465,0.0
UChlTcWDE8gd4tsl_L727NrQ,Hasheur,@hasheur,https://www.youtube.com/@hasheur,F,FR,814000,57412356,404,173,169,2024-09-14,2026-09-03,4,1.68,7.32,125383.0,143659.24210526317,114000.5,88319.0,374.81223337015405,0.154,95,74,125383.0,59441.0,980.0,0.116,0.231,0.307,0.0481,0.0
UCwTu6kD2igaLMpxswtcdxlg,Gareth Soloway,@garethsolowayprotrader,https://www.youtube.com/@garethsolowayprotrader,C,US,294000,49265327,1838,600,582,2025-04-07,2026-09-06,1,8.14,35.4,28107.0,41286.213171577125,139267.0,81758.5,70.82254792547292,0.0956,577,5,28107.0,5318.0,761.0,0.282,0.264,0.415,0.0626,0.0
UCayjG0TS9IvWgWOiJSjukTw,Rishi Draws,@rishidraws,https://www.youtube.com/@rishidraws,W,US,1100000,284887080,190,60,60,2022-12-30,2025-11-14,297,0.4,1.74,152730.0,824235.9166666666,65542.5,78959.0,149.5438354523796,0.1388,2,58,48441.0,171022.5,478.0,0.333,0.645,0.752,0.0705,0.0
UCCbv0qixG-cyokxEY3kELtg,TradingLab,@tradinglabofficial,https://www.youtube.com/@tradinglabofficial,C,US,2030000,176601490,236,69,66,2024-09-10,2026-08-26,12,0.68,2.94,122116.0,284033.7586206897,68696.5,77463.5,524.5307877640496,0.0602,29,37,122116.0,324248.0,569.0,0.31,0.388,0.606,0.0399,0.0
UCeLe9gr7c9CsAtFusECY18g,ToonStarterz Doodles,@toonstarterzdoodles,https://www.youtube.com/@toonstarterzdoodles,W,US,79200,10064760,96,60,59,2021-09-28,2026-08-29,9,0.23,1.02,53603.0,139763.18644067796,41535.0,62520.5,83.02206835063033,0.6768,59,0,53603.0,,739.5,0.322,0.542,0.681,0.0529,0.0
UCly58gB7268VKzsH4zlMMvQ,Siebert Science,@siebertscience,https://www.youtube.com/@siebertscience,W,US,481000,24339237,163,60,58,2021-11-04,2026-09-07,0,0.24,1.03,96392.0,196978.32653061225,52409.5,60139.5,158.58192365228572,0.2004,49,9,96392.0,17133.0,1081.0,0.327,0.396,0.643,0.0263,0.0
UC2y5U9wW2-Ny1nWS2jFPlzA,السهم الممتنع,@alsahm,https://www.youtube.com/@alsahm,B,SA,301000,13125186,81,60,60,2022-06-11,2026-03-05,186,0.31,1.34,64025.0,120781.79661016949,49564.5,52509.5,74.51787486872273,0.2127,59,1,64025.0,71169.0,1132.0,0.271,0.359,0.492,0.0406,0.0
UCrTFPf6rq5OUSWb7ILW9trg,Chris Sain,@chrissain1,https://www.youtube.com/@chrissain1,C,US,1110000,113341062,2581,521,513,2024-09-07,2026-08-31,8,5.05,21.97,72089.0,85218.2829736211,44952.0,51107.0,161.75061595477445,0.0649,417,96,72089.0,30134.5,712.0,0.07,0.282,0.328,0.078,0.0
UC_4JcFVfzl5f5runRldZgtw,الأستاذ قنشوبة,@guenchouba,https://www.youtube.com/@guenchouba,A,DZ,1100000,59219423,662,248,248,2024-10-03,2026-08-02,36,2.6,11.32,56189.0,86793.55737704918,31129.0,46283.0,159.287201991308,0.0511,122,126,56189.0,20926.0,770.5,0.23,0.362,0.495,0.0664,0.0
UC0ep2A36j7gTFdqW2Yvngbg,Tori Trades,@toritrades,https://www.youtube.com/@toritrades,C,US,691000,107481810,1347,600,598,2025-03-16,2026-09-06,2,7.81,33.95,134455.5,213280.91666666666,69780.5,42075.0,507.7344450353047,0.1946,48,550,134455.5,41028.5,818.5,0.188,0.338,0.455,0.041,0.0
UCCAmVExQtgxzbIJJJoVA5Sw,Singe Explique,@singeexplique,https://www.youtube.com/@singeexplique,F,FR,33400,3044861,60,60,56,2025-07-06,2026-08-20,18,1.03,4.47,35557.5,61917.375,45117.0,37984.0,199.6669379419144,1.0646,8,48,35557.5,42104.0,271.0,0.25,0.391,0.378,0.0613,0.0
UCRI6t05DNVlV0XhdI7hx_iw,One Percent Better,@onepercentbetter,https://www.youtube.com/@onepercentbetter,W,AU,713000,24545092,150,60,60,2018-01-13,2023-09-22,1081,0.2,0.88,14301.0,141912.64406779662,24843.0,37524.5,8.241811771224533,0.0201,59,1,14301.0,35521.0,1118.0,0.373,0.716,0.844,0.021,0.02
UC-luaBAGSqZ---25Wifnnhg,LuxAlgo,@luxalgo,https://www.youtube.com/@luxalgo,C,AR,727000,72650037,889,347,334,2024-09-07,2026-09-04,3,3.34,14.53,22891.0,31767.67515923567,35642.0,35053.0,82.26459145509354,0.0315,157,177,22891.0,29617.0,377.0,0.229,0.324,0.499,0.0263,0.0
UCsYYksPHiGqXHPoHI-fm5sg,Whiteboard Crypto,@whiteboardcrypto,https://www.youtube.com/@whiteboardcrypto,W,US,1020000,34165661,152,60,60,2021-11-07,2025-05-19,476,0.33,1.42,87595.0,129853.3275862069,18834.5,31818.0,54.06939433866936,0.0859,58,2,87595.0,43079.5,640.5,0.207,0.376,0.55,0.0393,0.0
UCFOry4O_FlI2HU5epQnDWPQ,الاستاذ ربيع الفتياني ثقافة مالية ورياضيات الأعمال,@rabee_alfetyani,https://www.youtube.com/@rabee_alfetyani,A,JO,145000,8838629,207,111,104,2024-09-18,2026-09-03,4,1.09,4.73,38947.5,43364.393939393936,32801.0,30010.0,116.73404531635059,0.2686,66,38,38947.5,15556.5,1260.0,0.106,0.237,0.369,0.0611,0.0
